com_id,com_nam,lin_ima,spo_nam,aff_com_nam,tot_rec,tot_dis,cas_on_han,cov_end_dat
"C00488155","CONSERVATIVE AMERICAN NETWORK DELIVERING INCREASED CONGRESSIONAL EXCELLENCE (CANDICE-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00488155","MILLER, CANDICE","MILLER","$10,338.90","$16,856.40","$15,149.88","2015-12-31"
"C00388223","CONSERVATIVE LEADERSHIP FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00388223","FORBES, J. RANDY","FORBES","$4,500.00","$15,311.00","$8,595.19","2015-12-31"
"C00409458","CONSERVATIVE OPPORTUNITIES FOR A NEW AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00409458","","CONAWAY MAJORITY FUND","$213,250.00","$175,500.70","$66,928.65","2016-02-10"
"C00404392","CONSERVATIVE OPPURTUNITY LEADERSHIP AND ENTERPRISE PAC (COLE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00404392","","TOM COLE","$198,378.90","$108,651.60","$115,492.35","2015-12-31"
"C00428839","CONSERVATIVE PRINCIPLES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00428839","","STEVEN KING","$8,850.00","$21,194.90","$769.95","2015-12-31"
"C00585893","CONSERVATIVE PROMISES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00585893","","GARY  PALMER",,,,"2016-02-29"
"C00549725","CONSERVATIVE ROUNDTABLE","http://docquery.fec.gov/cgi-bin/fecimg/?C00549725","","THE HOLDING VICTORY FUND","$114,863.10","$110,778.30","$14,640.72","2015-12-31"
"C00502187","CONSERVATIVES RESTORING EXCELLENCE (CRE-PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00502187","ELLMERS, RENEE","ELLMERS","$45,500.00","$17,627.10","$30,603.36","2015-12-31"
"C00497362","CONSTITUTIONAL CONSERVATIVES FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00497362","LEE, MIKE","LEE","$2,500.00","$22,827.50",,"2015-11-30"
"C00350462","CONTINUING A MAJORITY PARTY ACTION COMMITTEE (CAMPAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00350462","","DAVID LEE CAMP","$1,009.60","$34,746.70","$19,668.40","2015-12-31"
"C00480228","CONTINUING AMERICA'S STRENGTH AND SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00480228","","WILLIAM M CASSIDY","$301,218.20","$208,797.40","$108,935.27","2015-12-31"
"C00525592","COOL PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00525592","WEBSTER, DANIEL","WEBSTER","$15,000.00","$33,000.00","$7,868.20","2015-12-31"
"C00457705","COUNTRY FIRST POLITICAL ACTION COMMITTEE INC. (COUNTRY FIRST PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00457705","","PATRIOT FIRST PAC","$201,556.30","$371,132.30","$62,035.20","2015-12-31"
"C00484402","COUNTRY ROADS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00484402","MANCHIN, JOE","MANCHIN","$351,005.60","$170,497.60","$442,699.66","2016-02-29"
"C00522060","DAGNY POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00522060","","CYNTHIA LUMMIS",,"$1,700.00","$3,979.00","2015-12-31"
"C00493072","DAKOTA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493072","HOEVEN, JOHN","HOEVEN","$137,808.50","$110,607.30","$35,442.21","2016-02-29"
"C00536607","DAKOTA PRAIRIE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00536607","","HEIDI HEITKAMP","$355,900.00","$370,019.10","$36,315.58","2016-02-29"
"C00387134","DANIEL WEBSTER PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00387134","SUNUNU, JOHN E","","$.30","$4,238.80",,"2015-12-31"
"C00455360","DAWG PAC - DEMOCRATS AGAINST WASTE IN GOVERNMENT","http://docquery.fec.gov/cgi-bin/fecimg/?C00455360","BARROW, JOHN","BARROW",,"$14,247.50","$79,185.43","2016-02-29"
"C00540393","DBM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540393","MCKINLEY, DAVID","MCKINLEY","$4,500.00","$2,145.80","$4,758.23","2016-02-29"
"C00577288","DECIDING CRITICAL RACES PAC (DCR PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00577288","ROUZER, DAVID CHESTON MR.","ROUZER","$9,600.00","$3.00","$9,597.00","2015-12-31"
"C00427930","DEDICATED TO ESTABLISHING NATIONAL TEAMWORK PAC (DENT PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00427930","DENT, CHARLES W.","","$106,750.00","$100,740.70","$15,985.06","2016-02-29"
"C00569293","DEEDS NOT WORDS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00569293","","","$432.00","$4,326.50","$6,183.00","2015-12-31"
"C00325993","DEFEND AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00325993","","SENATOR RICHARD SHELBY","$318,438.90","$362,129.40","$4,492,001.33","2016-02-29"
"C00497594","DEFENDING AMERICA'S VALUES EVERYWHERE (TEAM DAVE)","http://docquery.fec.gov/cgi-bin/fecimg/?C00497594","SCHWEIKERT, DAVID","SCHWEIKERT","$35,500.00","$18,410.20","$17,655.88","2015-12-31"
"C00571216","DEFENDING AMERICAN VALUES EVERYWHERE PAC (DAVE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00571216","","DAVID P JOYCE","$41,500.00","$21,950.00","$19,550.00","2016-02-29"
"C00499996","DEFENDING AND INVESTING IN AMERICA'S NEW ENDEAVORS PAC (DIANE PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00499996","BLACK, DIANE","BLACK","$68,798.50","$55,991.00","$38,947.32","2016-02-29"
"C00531632","DEFENSE, ECONOMIC RENEWAL, EDUCATION AND KNOWLEDGE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00531632","KILMER, DEREK","KILMER","$61,200.00","$39,329.70","$22,611.74","2016-02-29"
